date,small_lobm_vwret_pct,me1_bm2_vwret_pct,small_hibm_vwret_pct,big_lobm_vwret_pct,me2_bm2_vwret_pct,big_hibm_vwret_pct,market_proxy_pct,small_avg_pct,big_avg_pct,lobm_avg_pct,hibm_avg_pct,size_spread_pct,value_spread_pct,market_vol_12m_pct,market_momentum_12m_pct,market_drawdown,ff_mkt_rf_pct,ff_smb_pct,ff_hml_pct,ff_rf_pct,ff_mkt_total_pct,market_proxy_lag1_pct,size_spread_lag1_pct,value_spread_lag1_pct,market_vol_12m_lag1_pct,market_momentum_12m_lag1_pct,market_drawdown_lag1,ff_mkt_rf_lag1_pct,ff_smb_lag1_pct,ff_hml_lag1_pct,ff_rf_lag1_pct,ff_mkt_total_lag1_pct,predictor_source
2011-02-28,5.2694,5.3338,5.5048,2.544,4.4038,4.6732,4.6215,5.3693333333333335,3.873666666666667,3.9067,5.089,1.4956666666666667,1.1823000000000006,6.190565317184695,2.2114111111111114,-0.01601793028856935,3.48,1.5,1.18,0.01,3.4899999999999998,1.21825,-2.2901000000000002,0.61425,6.1829920922093455,2.1928000000000005,-0.05948388265181559,1.98,-2.29,0.61,0.01,1.99,authoritative_fama_french_cached
2011-03-31,3.3355,2.7512,1.4147,0.1822,1.4308,-1.5694,1.2575,2.5004666666666666,0.014533333333333362,1.75885,-0.07734999999999992,2.485933333333333,-1.8361999999999998,5.982979415114477,1.7095777777777783,-0.0036443557619481037,0.45,2.49,-1.84,0.01,0.46,4.6215,1.4956666666666667,1.1823000000000006,6.190565317184695,2.2114111111111114,-0.01601793028856935,3.48,1.5,1.18,0.01,3.4899999999999998,authoritative_fama_french_cached
2011-04-30,3.4473,2.0283,1.0301,3.7803,2.662,1.3153,2.377216666666667,2.1685666666666665,2.5858666666666665,3.6138,1.1726999999999999,-0.4173,-2.4411,5.944089380233283,1.572933333333334,0.0,2.9,-0.42,-2.44,0.0,2.9,1.2575,2.485933333333333,-1.8361999999999998,5.982979415114477,1.7095777777777783,-0.0036443557619481037,0.45,2.49,-1.84,0.01,0.46,authoritative_fama_french_cached
2011-05-31,-1.6907,-2.0358,-3.201,-0.5772,-1.3803,-2.7664,-1.9419000000000004,-2.3091666666666666,-1.5746333333333336,-1.13395,-2.9837,-0.734533333333333,-1.8497499999999998,5.299027327205217,2.067084722222223,-0.019418999999999964,-1.27,-0.73,-1.85,0.0,-1.27,2.377216666666667,-0.4173,-2.4411,5.944089380233283,1.572933333333334,0.0,2.9,-0.42,-2.44,0.0,2.9,authoritative_fama_french_cached
2011-06-30,-1.9324,-2.067,-1.8739,-1.4535,-1.6871,-1.9092,-1.8205166666666666,-1.9577666666666669,-1.6832666666666667,-1.69295,-1.89155,-0.2745000000000002,-0.1986000000000001,4.645079126290675,2.5082875000000002,-0.03727064053516671,-1.74,-0.27,-0.2,0.0,-1.74,-1.9419000000000004,-0.734533333333333,-1.8497499999999998,5.299027327205217,2.067084722222223,-0.019418999999999964,-1.27,-0.73,-1.85,0.0,-1.27,authoritative_fama_french_cached
2011-07-31,-4.443,-3.9495,-3.0202,-0.8091,-3.0377,-4.0443,-3.2173000000000003,-3.804233333333334,-2.6303666666666667,-2.6260499999999998,-3.53225,-1.173866666666667,-0.9062000000000001,4.712169876963973,1.6809319444444448,-0.06824453221722881,-2.35,-1.17,-0.91,0.0,-2.35,-1.8205166666666666,-0.2745000000000002,-0.1986000000000001,4.645079126290675,2.5082875000000002,-0.03727064053516671,-1.74,-0.27,-0.2,0.0,-1.74,authoritative_fama_french_cached
2011-08-31,-9.1575,-8.9106,-9.6096,-3.9525,-6.4895,-8.3548,-7.74575,-9.225900000000001,-6.265599999999999,-6.555000000000001,-8.982199999999999,-2.960300000000002,-2.4271999999999982,4.956146725370502,1.5553722222222224,-0.1404159813630127,-5.96,-2.96,-2.43,0.01,-5.95,-3.2173000000000003,-1.173866666666667,-0.9062000000000001,4.712169876963973,1.6809319444444448,-0.06824453221722881,-2.35,-1.17,-0.91,0.0,-2.35,authoritative_fama_french_cached
2011-09-30,-11.0365,-11.5825,-10.2858,-6.3248,-7.0848,-10.143,-9.409566666666668,-10.968266666666667,-7.8508666666666675,-8.68065,-10.214400000000001,-3.117399999999999,-1.5337500000000013,4.993632853991262,-0.11580416666666633,-0.22129911265267233,-7.58,-3.12,-1.53,0.0,-7.58,-7.74575,-2.960300000000002,-2.4271999999999982,4.956146725370502,1.5553722222222224,-0.1404159813630127,-5.96,-2.96,-2.43,0.01,-5.95,authoritative_fama_french_cached
2011-10-31,15.4038,15.5021,12.7026,9.7749,12.1008,12.5967,13.013483333333335,14.536166666666668,11.4908,12.58935,12.649650000000001,3.045366666666668,0.060300000000001575,6.219014450816758,0.667956944444445,-0.11996300246120906,11.33,3.05,0.06,0.0,11.33,-9.409566666666668,-3.117399999999999,-1.5337500000000013,4.993632853991262,-0.11580416666666633,-0.22129911265267233,-7.58,-3.12,-1.53,0.0,-7.58,authoritative_fama_french_cached
2011-11-30,-1.7822,-0.3329,-0.2062,-0.0126,0.8587,-2.6311,-0.6843833333333333,-0.7737666666666666,-0.595,-0.8974,-1.41865,-0.17876666666666663,-0.52125,6.2197847172182525,0.46320416666666714,-0.1259858289995317,-0.27,-0.18,-0.52,0.0,-0.27,13.013483333333335,3.045366666666668,0.060300000000001575,6.219014450816758,0.667956944444445,-0.11996300246120906,11.33,3.05,0.06,0.0,11.33,authoritative_fama_french_cached
