date,strategy,portfolio,weight
2013-03-31,mv_plugin_sample,small_hibm_vwret_pct,3.823697615944024e-24
2013-03-31,mv_plugin_sample,small_lobm_vwret_pct,-4.31662755975443e-24
2013-03-31,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2013-03-31,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2013-03-31,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2013-03-31,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2013-03-31,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2013-03-31,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2013-04-30,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2013-04-30,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2013-04-30,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2013-04-30,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2013-04-30,equal_weight,small_hibm_vwret_pct,0.16666666666666666
2013-04-30,equal_weight,small_lobm_vwret_pct,0.16666666666666666
2013-04-30,mv_improved_shrinkage,big_hibm_vwret_pct,2.457956344443496e-10
2013-04-30,mv_improved_shrinkage,big_lobm_vwret_pct,0.3352379246382811
2013-04-30,mv_improved_shrinkage,me1_bm2_vwret_pct,0.3499515057360695
2013-04-30,mv_improved_shrinkage,me2_bm2_vwret_pct,0.31074997192468135
2013-04-30,mv_improved_shrinkage,small_hibm_vwret_pct,0.004060597212735222
2013-04-30,mv_improved_shrinkage,small_lobm_vwret_pct,2.41878183002218e-10
2013-04-30,mv_plugin_sample,big_hibm_vwret_pct,1.4041464773482065e-23
2013-04-30,mv_plugin_sample,big_lobm_vwret_pct,0.8614838920643577
2013-04-30,mv_plugin_sample,me1_bm2_vwret_pct,0.1385161079356423
2013-04-30,mv_plugin_sample,me2_bm2_vwret_pct,1.609046522310275e-24
2013-04-30,mv_plugin_sample,small_hibm_vwret_pct,-4.3552851476489106e-24
2013-04-30,mv_plugin_sample,small_lobm_vwret_pct,3.482629956572264e-23
2013-04-30,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2013-04-30,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2013-04-30,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2013-04-30,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2013-04-30,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2013-04-30,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2013-05-31,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2013-05-31,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2013-05-31,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2013-05-31,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2013-05-31,equal_weight,small_hibm_vwret_pct,0.16666666666666666
2013-05-31,equal_weight,small_lobm_vwret_pct,0.16666666666666666
2013-05-31,mv_improved_shrinkage,big_hibm_vwret_pct,5.237441116919268e-10
2013-05-31,mv_improved_shrinkage,big_lobm_vwret_pct,0.3390865790120355
2013-05-31,mv_improved_shrinkage,me1_bm2_vwret_pct,0.34409335426169707
2013-05-31,mv_improved_shrinkage,me2_bm2_vwret_pct,0.3127908958451489
2013-05-31,mv_improved_shrinkage,small_hibm_vwret_pct,0.0040291698690509085
2013-05-31,mv_improved_shrinkage,small_lobm_vwret_pct,4.882574043156356e-10
2013-05-31,mv_plugin_sample,big_hibm_vwret_pct,-2.1256211574439894e-23
2013-05-31,mv_plugin_sample,big_lobm_vwret_pct,0.911414913938879
2013-05-31,mv_plugin_sample,me1_bm2_vwret_pct,0.0885850860611211
2013-05-31,mv_plugin_sample,me2_bm2_vwret_pct,1.1938655977379794e-22
2013-05-31,mv_plugin_sample,small_hibm_vwret_pct,2.2609701802494138e-23
2013-05-31,mv_plugin_sample,small_lobm_vwret_pct,-5.282210060034948e-23
2013-05-31,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2013-05-31,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2013-05-31,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2013-05-31,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2013-05-31,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2013-05-31,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2013-06-30,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2013-06-30,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2013-06-30,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2013-06-30,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2013-06-30,equal_weight,small_hibm_vwret_pct,0.16666666666666666
2013-06-30,equal_weight,small_lobm_vwret_pct,0.16666666666666666
2013-06-30,mv_improved_shrinkage,big_hibm_vwret_pct,1.345610477018461e-09
2013-06-30,mv_improved_shrinkage,big_lobm_vwret_pct,0.3373938648205081
2013-06-30,mv_improved_shrinkage,me1_bm2_vwret_pct,0.3499999984652972
2013-06-30,mv_improved_shrinkage,me2_bm2_vwret_pct,0.3084849170052731
2013-06-30,mv_improved_shrinkage,small_hibm_vwret_pct,0.004121217305046874
2013-06-30,mv_improved_shrinkage,small_lobm_vwret_pct,1.0582588039545657e-09
2013-06-30,mv_plugin_sample,big_hibm_vwret_pct,8.5776362350129e-23
2013-06-30,mv_plugin_sample,big_lobm_vwret_pct,0.9235218132855815
2013-06-30,mv_plugin_sample,me1_bm2_vwret_pct,0.07647818671441847
2013-06-30,mv_plugin_sample,me2_bm2_vwret_pct,6.748950559978312e-23
2013-06-30,mv_plugin_sample,small_hibm_vwret_pct,3.6214512483556255e-23
2013-06-30,mv_plugin_sample,small_lobm_vwret_pct,7.545672389486636e-23
2013-06-30,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2013-06-30,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2013-06-30,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2013-06-30,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2013-06-30,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2013-06-30,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2013-07-31,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2013-07-31,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2013-07-31,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2013-07-31,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2013-07-31,equal_weight,small_hibm_vwret_pct,0.16666666666666666
2013-07-31,equal_weight,small_lobm_vwret_pct,0.16666666666666666
2013-07-31,mv_improved_shrinkage,big_hibm_vwret_pct,1.1029962589266768e-09
2013-07-31,mv_improved_shrinkage,big_lobm_vwret_pct,0.3367460209673532
2013-07-31,mv_improved_shrinkage,me1_bm2_vwret_pct,0.34999999885548366
2013-07-31,mv_improved_shrinkage,me2_bm2_vwret_pct,0.30911545731710033
2013-07-31,mv_improved_shrinkage,small_hibm_vwret_pct,0.004138520926299326
2013-07-31,mv_improved_shrinkage,small_lobm_vwret_pct,8.307613553757477e-10
2013-07-31,mv_plugin_sample,big_hibm_vwret_pct,2.3359573768958395e-23
2013-07-31,mv_plugin_sample,big_lobm_vwret_pct,0.903059629424281
2013-07-31,mv_plugin_sample,me1_bm2_vwret_pct,0.09694037057571904
2013-07-31,mv_plugin_sample,me2_bm2_vwret_pct,-1.5687639511695685e-23
2013-07-31,mv_plugin_sample,small_hibm_vwret_pct,-3.4170950786948546e-23
2013-07-31,mv_plugin_sample,small_lobm_vwret_pct,-4.988028259685549e-23
2013-07-31,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2013-07-31,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2013-07-31,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2013-07-31,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2013-07-31,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2013-07-31,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2013-08-31,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2013-08-31,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2013-08-31,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2013-08-31,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2013-08-31,equal_weight,small_hibm_vwret_pct,0.16666666666666666
2013-08-31,equal_weight,small_lobm_vwret_pct,0.16666666666666666
2013-08-31,mv_improved_shrinkage,big_hibm_vwret_pct,8.1720972938721e-10
2013-08-31,mv_improved_shrinkage,big_lobm_vwret_pct,0.3394239711067744
2013-08-31,mv_improved_shrinkage,me1_bm2_vwret_pct,0.3499999993406944
2013-08-31,mv_improved_shrinkage,me2_bm2_vwret_pct,0.30636193925711097
2013-08-31,mv_improved_shrinkage,small_hibm_vwret_pct,0.004214088951480205
2013-08-31,mv_improved_shrinkage,small_lobm_vwret_pct,5.267255685482777e-10
2013-08-31,mv_plugin_sample,big_hibm_vwret_pct,1.4846286232926985e-22
2013-08-31,mv_plugin_sample,big_lobm_vwret_pct,0.9370591907540294
2013-08-31,mv_plugin_sample,me1_bm2_vwret_pct,0.06294080924597055
2013-08-31,mv_plugin_sample,me2_bm2_vwret_pct,1.5654810406381833e-22
2013-08-31,mv_plugin_sample,small_hibm_vwret_pct,6.331259639818598e-23
2013-08-31,mv_plugin_sample,small_lobm_vwret_pct,1.8451594662590585e-22
2013-08-31,stat_arb_cointegration,big_hibm_vwret_pct,0.0
2013-08-31,stat_arb_cointegration,big_lobm_vwret_pct,0.0
2013-08-31,stat_arb_cointegration,me1_bm2_vwret_pct,0.0
2013-08-31,stat_arb_cointegration,me2_bm2_vwret_pct,0.0
2013-08-31,stat_arb_cointegration,small_hibm_vwret_pct,0.0
2013-08-31,stat_arb_cointegration,small_lobm_vwret_pct,0.0
2013-09-30,equal_weight,big_hibm_vwret_pct,0.16666666666666666
2013-09-30,equal_weight,big_lobm_vwret_pct,0.16666666666666666
2013-09-30,equal_weight,me1_bm2_vwret_pct,0.16666666666666666
2013-09-30,equal_weight,me2_bm2_vwret_pct,0.16666666666666666
2013-09-30,equal_weight,small_hibm_vwret_pct,0.16666666666666666
2013-09-30,equal_weight,small_lobm_vwret_pct,0.16666666666666666
2013-09-30,mv_improved_shrinkage,big_hibm_vwret_pct,4.422562119010924e-10
2013-09-30,mv_improved_shrinkage,big_lobm_vwret_pct,0.3429791455673007
2013-09-30,mv_improved_shrinkage,me1_bm2_vwret_pct,0.3474912573162219
2013-09-30,mv_improved_shrinkage,me2_bm2_vwret_pct,0.30536096808877217
2013-09-30,mv_improved_shrinkage,small_hibm_vwret_pct,0.004168628269485856
2013-09-30,mv_improved_shrinkage,small_lobm_vwret_pct,3.155754184009004e-10
2013-09-30,mv_plugin_sample,big_hibm_vwret_pct,1.0519280273639587e-22
2013-09-30,mv_plugin_sample,big_lobm_vwret_pct,0.9977260725992927
2013-09-30,mv_plugin_sample,me1_bm2_vwret_pct,0.0022739274007072484
